severity,method,nx,cell_index,z_left_cm,z_center_cm,z_right_cm,r_left_cm,r_center_cm,r_right_cm,dx_cm
50,fv-muscl-minmod,400,1,0,0.0075,0.015,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,2,0.015,0.0225,0.03,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,3,0.03,0.0375,0.045,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,4,0.045,0.0525,0.06,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,5,0.06,0.0675,0.075,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,6,0.075,0.0825,0.09,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,7,0.09,0.0975,0.105,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,8,0.105,0.1125,0.12,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,9,0.12,0.1275,0.135,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,10,0.135,0.1425,0.15,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,11,0.15,0.1575,0.165,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,12,0.165,0.1725,0.18,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,13,0.18,0.1875,0.195,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,14,0.195,0.2025,0.21,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,15,0.21,0.2175,0.225,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,16,0.225,0.2325,0.24,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,17,0.24,0.2475,0.255,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,18,0.255,0.2625,0.27,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,19,0.27,0.2775,0.285,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,20,0.285,0.2925,0.3,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,21,0.3,0.3075,0.315,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,22,0.315,0.3225,0.33,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,23,0.33,0.3375,0.345,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,24,0.345,0.3525,0.36,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,25,0.36,0.3675,0.375,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,26,0.375,0.3825,0.39,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,27,0.39,0.3975,0.405,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,28,0.405,0.4125,0.42,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,29,0.42,0.4275,0.435,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,30,0.435,0.4425,0.45,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,31,0.45,0.4575,0.465,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,32,0.465,0.4725,0.48,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,33,0.48,0.4875,0.495,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,34,0.495,0.5025,0.51,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,35,0.51,0.5175,0.525,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,36,0.525,0.5325,0.54,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,37,0.54,0.5475,0.555,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,38,0.555,0.5625,0.57,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,39,0.57,0.5775,0.585,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,40,0.585,0.5925,0.6,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,41,0.6,0.6075,0.615,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,42,0.615,0.6225,0.63,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,43,0.63,0.6375,0.645,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,44,0.645,0.6525,0.66,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,45,0.66,0.6675,0.675,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,46,0.675,0.6825,0.69,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,47,0.69,0.6975,0.705,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,48,0.705,0.7125,0.72,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,49,0.72,0.7275,0.735,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,50,0.735,0.7425,0.75,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,51,0.75,0.7575,0.765,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,52,0.765,0.7725,0.78,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,53,0.78,0.7875,0.795,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,54,0.795,0.8025,0.81,0.18,0.18,0.18,0.015
