severity,particle_id,seed_label,sample_index,z_cm,x_cm,y_cm,r_cm,r_over_r0,t_s,ux_cm_s,uy_cm_s,uz_cm_s
23,1,centerline,1,0.05,0,0,0,0,0,-1.06428387754e-05,-2.35589447539e-05,10.6717534222
23,1,centerline,2,0.0745833333333,-2.14093023411e-08,-4.96390483144e-08,5.40591652201e-08,3.00328695667e-07,0.00230360528426,-7.83245168582e-06,-1.93690292544e-05,10.6716099261
23,1,centerline,3,0.0991666666667,-3.56148360078e-08,-8.85213952069e-08,9.54172623441e-08,5.30095901911e-07,0.00460723662176,-4.46930024463e-06,-1.43268475817e-05,10.6715098701
23,1,centerline,4,0.12375,-4.26692764673e-08,-1.16390062383e-07,1.23964969954e-07,6.88694277523e-07,0.00691088681784,-1.79892014067e-06,-1.00220258134e-05,10.6714344995
23,1,centerline,5,0.148333333333,-4.45648075119e-08,-1.35403864126e-07,1.42549038892e-07,7.91939104954e-07,0.00921455010333,9.60991290784e-09,-6.63907059003e-06,10.6713885995
23,1,centerline,6,0.172916666667,-4.32868028532e-08,-1.47686358175e-07,1.53899342729e-07,8.54996348494e-07,0.0115182201164,9.56285019729e-07,-4.17799107014e-06,10.6713721702
23,1,centerline,7,0.1975,-4.08286829657e-08,-1.55374625258e-07,1.60649480319e-07,8.92497112881e-07,0.0138218908698,1.02027929534e-06,-2.67377188723e-06,10.6713748014
23,1,centerline,8,0.222083333333,-3.87384872247e-08,-1.60343471055e-07,1.64956658254e-07,9.16425879188e-07,0.0161255617351,7.93184074591e-07,-1.68542249685e-06,10.671373834
23,1,centerline,9,0.246666666667,-3.71797505551e-08,-1.63348857175e-07,1.67526663524e-07,9.30703686246e-07,0.0184292323733,5.58877495511e-07,-9.69136440871e-07,10.6713769058
23,1,centerline,10,0.27125,-3.61690858733e-08,-1.65017527215e-07,1.68934860408e-07,9.38527002269e-07,0.0207329019124,3.17359515632e-07,-5.24913416261e-07,10.6713840169
23,1,centerline,11,0.295833333333,-3.56672252268e-08,-1.65944461943e-07,1.69734249357e-07,9.42968051985e-07,0.0230365701369,1.60452253487e-07,-2.8965341378e-07,10.6713839928
23,1,centerline,12,0.320416666667,-3.53816546561e-08,-1.66396235371e-07,1.70116338521e-07,9.45090769562e-07,0.0253402392727,9.34088503056e-08,-1.12122720209e-07,10.6713807513
23,1,centerline,13,0.345,-3.52095173633e-08,-1.66505074049e-07,1.70187102323e-07,9.45483901792e-07,0.0276439086172,6.19717066776e-08,8.07577658816e-09,10.6713820583
23,1,centerline,14,0.369583333333,-3.50687883785e-08,-1.66403052385e-07,1.70058212861e-07,9.44767849226e-07,0.0299475771887,6.61408227595e-08,7.09420760065e-08,10.671387914
23,1,centerline,15,0.394166666667,-3.49078305436e-08,-1.66220380181e-07,1.69846317066e-07,9.43590650367e-07,0.0322512452487,6.87636592147e-08,8.40410399308e-08,10.6713841568
23,1,centerline,16,0.41875,-3.47580089634e-08,-1.66023858199e-07,1.69623231541e-07,9.42351286338e-07,0.0345549143224,6.05016137324e-08,8.51038904123e-08,10.6713812124
23,1,centerline,17,0.443333333333,-3.46327966437e-08,-1.65835057811e-07,1.69412800586e-07,9.41182225479e-07,0.0368585835084,4.73983792212e-08,7.73372959919e-08,10.6713831159
23,1,centerline,18,0.467916666667,-3.4543346125e-08,-1.6567431921e-07,1.69237179152e-07,9.40206550844e-07,0.0391622517603,2.94539557111e-08,6.07412567279e-08,10.6713898673
23,1,centerline,19,0.4925,-3.44921857721e-08,-1.65552556395e-07,1.69107539182e-07,9.3948632879e-07,0.0414659199189,1.57628914689e-08,4.55709711581e-08,10.6713835576
23,1,centerline,20,0.517083333333,-3.4467482212e-08,-1.65462024254e-07,1.69013871621e-07,9.38965953449e-07,0.0437695890314,6.37333567031e-09,3.35204995321e-08,10.6713814488
23,1,centerline,21,0.541666666667,-3.4459646816e-08,-1.65395843528e-07,1.68947483897e-07,9.38597132758e-07,0.0460732580779,1.11828437175e-09,2.44295548095e-08,10.6713841689
