r u1d1p951 u3d1p951 u1d2p451 u3d2p451 u1d2p951 u3d2p951
0.025 27.27889214 45.8807475 46.22123275 59.55415919 40.47311958 nan
0.075 27.27889214 nan 46.22123274 nan 40.47311958 58.7938507
0.125 27.27889194 44.95749051 46.22123241 nan 40.47311928 58.23047558
0.175 27.27888801 nan 46.22122573 nan 40.47311339 57.74470426
0.225 27.27885247 43.64263424 46.22116537 58.23902586 40.47306008 56.92542111
0.275 27.2786507 42.31915452 46.22082269 nan 40.47275742 nan
0.325 27.27780631 41.04144563 46.21938857 56.94458338 40.47149082 53.78031607
0.375 27.27495578 39.78639482 46.21454725 nan 40.46721499 52.19207274
0.425 27.26674948 37.0548625 46.2006097 54.57806308 40.45490543 49.58087696
0.475 27.24585092 35.36142163 46.1651157 52.95287857 40.42355731 45.63060027
0.525 27.19756279 33.66999432 46.08310336 51.61004968 40.35112446 42.05587116
0.575 27.09446527 31.14207211 45.90800303 50.20115723 40.1964768 36.70748121
0.625 26.88829078 27.9446386 45.55783727 nan 39.8872123 33.20598833
0.675 26.49807821 25.42757127 44.89510213 44.70834964 39.30188821 25.50858989
0.725 25.79345028 21.04098654 43.69836546 42.97636478 38.24493686 19.58046115
0.775 24.57163864 16.69672041 41.62324648 37.48055453 36.41220303 14.19810158
0.825 22.52664369 14.53005925 38.15003693 31.44717024 33.34468317 10.33895173
0.875 19.20865905 11.26536491 32.51478786 nan 28.36766172 nan
0.925 13.97161518 nan 23.62021785 nan 20.51202568 nan
0.975 5.906401153 -0.8844994463 9.922297332 -0.653164675 8.41409649 -0.9786364905
