r u1d1p951 u3d1p951 area1p951 disc1p951 u1d2p451 u3d2p451 area2p451 disc2p451 u1d2p951 u3d2p951 area2p951 disc2p951
0.025 44.7764995041 45.7271693514 0.000232269183939 0.95066984735 125.107624612 87.2201395641 5.64066052115e-5 37.8874850483 56.2259535727 84.5777914205 0.000230691581523 28.3518378478
0.075 44.5524769925 45.3045620881 0.000762208433413 0.752085095595 124.481695284 86.8523291869 0.000503200326761 37.6293660966 55.9446479889 84.3696046544 0.000606136886684 28.4249566656
0.125 44.1044319693 44.7992564894 0.00132987205829 0.694824520077 123.229836626 86.6509844072 0.000232788115686 36.5788522186 55.3820368211 83.7877822802 0.00106282772241 28.405745459
0.175 43.4323644345 44.1523206224 0.00181435506548 0.719956187838 121.352048639 86.2349576941 0.000601806785726 35.117090945 54.5381200696 82.419516751 0.00143467631106 27.8813966814
0.225 42.5362743882 43.2156806928 0.0022097648595 0.679406304629 118.848331324 85.8581114438 0.000959689005299 32.9902198797 53.4128977342 80.8191197011 0.00187799772858 27.406221967
0.275 41.4161618302 42.0782405336 0.002785200339 0.662078703321 115.718684679 85.5555726665 0.000970871295399 30.1631120125 52.0063698149 78.6155813095 0.00218246441875 26.6092114946
0.325 40.0720267607 40.6947466194 0.00334686245665 0.622719858727 111.963108706 85.0941063167 0.00108881816524 26.8690023889 50.3185363118 75.3365565621 0.00267766671066 25.0180202503
0.375 38.5038691796 39.0173001463 0.0037078582307 0.513430966705 107.581603403 84.4627125345 0.00148131780185 23.1188908689 48.3493972248 70.3815219977 0.00327572908786 22.0321247729
0.425 36.7116890868 37.0871642213 0.00449204849096 0.375475134476 102.574168772 83.6545838941 0.00154604047382 18.9195848782 46.098952554 63.6929002481 0.00347030481077 17.5939476941
0.475 34.6954864825 34.9254650256 0.00489919195273 0.229978543106 96.9408048123 82.7992577281 0.0017294829997 14.1415470842 43.5672022993 56.3830466169 0.00388085881391 12.8158443176
0.525 32.4552613666 32.6261614651 0.0051216708815 0.170900098462 90.6815115233 81.6043248129 0.00198501489568 9.07718671045 40.7541464608 47.3304929802 0.00439715450968 6.57634651947
0.575 29.9910137391 30.0793073267 0.00593177453957 0.0882935875197 83.7962889055 80.2123682909 0.00193755720965 3.58392061464 37.6597850384 37.6708782104 0.00490223437593 0.0110931720026
0.625 27.3027436001 27.1369360072 0.00669283716585 0.165807592825 76.2851369588 78.4804144213 0.00239744131541 2.19527746253 34.2841180321 28.7214059029 0.00475484400769 5.56271212922
0.675 24.3904509494 24.0117258644 0.00673924180782 0.378725085 68.1480556832 74.9704198903 0.00247470284516 6.82236420708 30.627145442 20.5399170611 0.00590144915317 10.0872283809
0.725 21.2541357871 20.7406311137 0.00731411810021 0.513504673438 59.3850450787 66.062244818 0.00271844410783 6.67719973932 26.6888672681 13.0357485352 0.00579568271955 13.6531187329
0.775 17.8937981133 17.2145857042 0.00789757321395 0.679212409073 49.9961051453 55.713700762 0.00299721906059 5.71759561666 22.4692835103 7.09013842162 0.00626560359964 15.3791450887
0.825 14.3094379278 13.468588092 0.00859603834754 0.840849835842 39.981235883 46.6776531628 0.00225127950259 6.69641727978 17.9683941686 4.41756394917 0.00752272053303 13.5508302195
0.875 10.5010552308 9.49283027211 0.00846348010753 1.00822495868 29.3404372918 30.2868204675 0.00326893251087 0.946383175611 13.1861992431 2.40184901164 0.00655078801231 10.7843502315
0.925 6.46865002217 4.91262066832 0.0103225132614 1.55602935385 18.0737093718 18.7843534129 0.00388379314885 0.710644041124 8.12269873377 0.891607078653 0.00776956383027 7.23109165511
0.975 2.21222230195 1.0192412841 0.0086624439839 1.19298101786 6.18105212282 5.80379101468 0.00315342983238 0.377261108133 2.77789264055 -0.474392380297 0.00676573641721 3.25228502085
