z u1d77 u3d77 err77 u1d60 u3d60 err60
0 22.38936289 18.89906741 3.490295476 22.30764914 18.89906731 3.408581828
0.03015075377 22.38954355 16.16238937 6.227154186 22.30782753 15.61110878 6.69671875
0.06030150754 22.38992783 12.14276923 10.2471586 22.30820692 12.2749301 10.03327683
0.09045226131 22.39031345 16.92880569 5.461507763 22.30858764 16.04470318 6.263884459
0.1206030151 22.3906991 16.79988537 5.590813731 22.30896838 17.00036275 5.308605631
0.1507537688 22.39108478 16.66731342 5.723771354 22.30934915 15.96383119 6.345517955
0.1809045226 22.39147047 17.54059207 4.850878402 22.30972994 16.44758692 5.862143014
0.2110552764 22.39185619 12.1087911 10.28306509 22.31011075 13.36625818 8.943852565
0.2412060302 22.39224193 17.61423699 4.778004939 22.31049158 17.05661152 5.253880058
0.2713567839 22.3926277 16.49196534 5.900662354 22.31087244 16.96684407 5.344028363
0.3015075377 22.39301348 17.60987595 4.783137532 22.31125332 17.91841345 4.392839863
0.3316582915 22.3933993 16.55956909 5.833830202 22.31163422 16.91645226 5.395181961
0.3618090452 22.39378513 12.85707916 9.536705969 22.31201514 12.97705024 9.334964903
0.391959799 22.39417099 16.906743 5.487427988 22.31239609 17.31218449 5.000211596
0.4221105528 22.39455687 17.95021982 4.44433705 22.31277706 16.96699193 5.345785134
0.4522613065 22.39494278 16.50376121 5.891181569 22.31315805 16.75182306 5.561334998
0.4824120603 22.3953287 17.56030254 4.835026165 22.31353907 17.82557971 4.487959362
0.5125628141 22.39571466 13.05250668 9.343207978 22.31392011 13.05133054 9.262589572
0.5427135678 22.39610063 16.79234178 5.603758852 22.31430117 16.96096015 5.353341015
0.5728643216 22.39648663 17.12741099 5.269075641 22.31468225 16.64000297 5.674679281
0.6030150754 22.39687265 17.25364924 5.143223408 22.31506336 17.92441538 4.390647976
0.6331658291 22.39725869 17.1695589 5.227699798 22.31544449 17.03238885 5.283055644
0.6633165829 22.39764476 12.33371024 10.06393452 22.31582564 12.6933706 9.622455039
0.6934673367 22.39803085 17.53221537 4.865815483 22.31620682 17.05893585 5.257270966
0.7236180905 22.39841697 17.10842147 5.289995495 22.31658802 16.88934204 5.427245975
0.7537688442 22.39880311 17.20964133 5.189161776 22.31696924 17.33409369 4.982875542
0.783919598 22.39918927 17.97356265 4.425626617 22.31735048 17.6441942 4.67315628
0.8140703518 22.39957545 12.27957094 10.12000451 22.31773175 13.59966086 8.718070884
0.8442211055 22.39996166 16.96079414 5.439167518 22.31811304 16.90332652 5.414786518
0.8743718593 22.40034789 17.12594891 5.274398981 22.31849435 16.7171419 5.601352447
0.9045226131 22.40073414 17.38741333 5.013320812 22.31887568 17.87023273 4.448642954
0.9346733668 22.40112042 17.0555814 5.345539019 22.31925704 17.09156565 5.227691392
0.9648241206 22.40150672 13.03735209 9.364154629 22.31963842 12.70540411 9.614234308
0.9949748744 22.40189305 17.38413573 5.017757319 22.32001982 17.6894373 4.630582527
