severity,z_cm,r0_cm,rbase_cm,s_fraction
0,0,0.18,0.18,0
0,0.0333333333333,0.18,0.18,0
0,0.0666666666667,0.18,0.18,0
0,0.1,0.18,0.18,0
0,0.133333333333,0.18,0.18,0
0,0.166666666667,0.18,0.18,0
0,0.2,0.18,0.18,0
0,0.233333333333,0.18,0.18,0
0,0.266666666667,0.18,0.18,0
0,0.3,0.18,0.18,0
0,0.333333333333,0.18,0.18,0
0,0.366666666667,0.18,0.18,0
0,0.4,0.18,0.18,0
0,0.433333333333,0.18,0.18,0
0,0.466666666667,0.18,0.18,0
0,0.5,0.18,0.18,0
0,0.533333333333,0.18,0.18,0
0,0.566666666667,0.18,0.18,0
0,0.6,0.18,0.18,0
0,0.633333333333,0.18,0.18,0
0,0.666666666667,0.18,0.18,0
0,0.7,0.18,0.18,0
0,0.733333333333,0.18,0.18,0
0,0.766666666667,0.18,0.18,0
0,0.8,0.18,0.18,0
0,0.833333333333,0.18,0.18,0
0,0.866666666667,0.18,0.18,0
0,0.9,0.18,0.18,0
0,0.933333333333,0.18,0.18,0
0,0.966666666667,0.18,0.18,0
0,1,0.18,0.18,0
0,1.03333333333,0.18,0.18,0
0,1.06666666667,0.18,0.18,0
0,1.1,0.18,0.18,0
0,1.13333333333,0.18,0.18,0
0,1.16666666667,0.18,0.18,0
0,1.2,0.18,0.18,0
0,1.23333333333,0.18,0.18,0
0,1.26666666667,0.18,0.18,0
0,1.3,0.18,0.18,0
0,1.33333333333,0.18,0.18,0
0,1.36666666667,0.18,0.18,0
0,1.4,0.18,0.18,0
0,1.43333333333,0.18,0.18,0
0,1.46666666667,0.18,0.18,0
0,1.5,0.18,0.18,0
0,1.53333333333,0.18,0.18,0
0,1.56666666667,0.18,0.18,0
0,1.6,0.18,0.18,0
0,1.63333333333,0.18,0.18,0
0,1.66666666667,0.18,0.18,0
0,1.7,0.18,0.18,0
0,1.73333333333,0.18,0.18,0
0,1.76666666667,0.18,0.18,0
0,1.8,0.18,0.18,0
0,1.83333333333,0.18,0.18,0
0,1.86666666667,0.18,0.18,0
0,1.9,0.18,0.18,0
0,1.93333333333,0.18,0.18,0
0,1.96666666667,0.18,0.18,0
0,2,0.18,0.18,0
0,2.03333333333,0.18,0.18,0
0,2.06666666667,0.18,0.18,0
0,2.1,0.18,0.18,0
0,2.13333333333,0.18,0.18,0
0,2.16666666667,0.18,0.18,0
0,2.2,0.18,0.18,0
0,2.23333333333,0.18,0.18,0
0,2.26666666667,0.18,0.18,0
0,2.3,0.18,0.18,0
0,2.33333333333,0.18,0.18,0
0,2.36666666667,0.18,0.18,0
0,2.4,0.18,0.18,0
0,2.43333333333,0.18,0.18,0
0,2.46666666667,0.18,0.18,0
0,2.5,0.18,0.18,0
0,2.53333333333,0.18,0.18,0
0,2.56666666667,0.18,0.18,0
0,2.6,0.18,0.18,0
0,2.63333333333,0.18,0.18,0
0,2.66666666667,0.18,0.18,0
0,2.7,0.18,0.18,0
0,2.73333333333,0.18,0.18,0
0,2.76666666667,0.18,0.18,0
0,2.8,0.18,0.18,0
0,2.83333333333,0.18,0.18,0
0,2.86666666667,0.18,0.18,0
0,2.9,0.18,0.18,0
0,2.93333333333,0.18,0.18,0
0,2.96666666667,0.18,0.18,0
0,3,0.18,0.18,0
0,3.03333333333,0.18,0.18,0
0,3.06666666667,0.18,0.18,0
0,3.1,0.18,0.18,0
0,3.13333333333,0.18,0.18,0
0,3.16666666667,0.18,0.18,0
0,3.2,0.18,0.18,0
0,3.23333333333,0.18,0.18,0
0,3.26666666667,0.18,0.18,0
0,3.3,0.18,0.18,0
0,3.33333333333,0.18,0.18,0
0,3.36666666667,0.18,0.18,0
0,3.4,0.18,0.18,0
0,3.43333333333,0.18,0.18,0
0,3.46666666667,0.18,0.18,0
0,3.5,0.18,0.18,0
0,3.53333333333,0.18,0.18,0
0,3.56666666667,0.18,0.18,0
0,3.6,0.18,0.18,0
0,3.63333333333,0.18,0.18,0
0,3.66666666667,0.18,0.18,0
0,3.7,0.18,0.18,0
0,3.73333333333,0.18,0.18,0
0,3.76666666667,0.18,0.18,0
0,3.8,0.18,0.18,0
0,3.83333333333,0.18,0.18,0
0,3.86666666667,0.18,0.18,0
0,3.9,0.18,0.18,0
0,3.93333333333,0.18,0.18,0
0,3.96666666667,0.18,0.18,0
0,4,0.18,0.18,0
0,4.03333333333,0.18,0.18,0
0,4.06666666667,0.18,0.18,0
0,4.1,0.18,0.18,0
0,4.13333333333,0.18,0.18,0
0,4.16666666667,0.18,0.18,0
0,4.2,0.18,0.18,0
0,4.23333333333,0.18,0.18,0
0,4.26666666667,0.18,0.18,0
0,4.3,0.18,0.18,0
0,4.33333333333,0.18,0.18,0
0,4.36666666667,0.18,0.18,0
0,4.4,0.18,0.18,0
0,4.43333333333,0.18,0.18,0
0,4.46666666667,0.18,0.18,0
0,4.5,0.18,0.18,0
0,4.53333333333,0.18,0.18,0
0,4.56666666667,0.18,0.18,0
0,4.6,0.18,0.18,0
0,4.63333333333,0.18,0.18,0
0,4.66666666667,0.18,0.18,0
0,4.7,0.18,0.18,0
0,4.73333333333,0.18,0.18,0
0,4.76666666667,0.18,0.18,0
0,4.8,0.18,0.18,0
0,4.83333333333,0.18,0.18,0
0,4.86666666667,0.18,0.18,0
0,4.9,0.18,0.18,0
0,4.93333333333,0.18,0.18,0
0,4.96666666667,0.18,0.18,0
0,5,0.18,0.18,0
0,5.03333333333,0.18,0.18,0
0,5.06666666667,0.18,0.18,0
0,5.1,0.18,0.18,0
0,5.13333333333,0.18,0.18,0
0,5.16666666667,0.18,0.18,0
0,5.2,0.18,0.18,0
0,5.23333333333,0.18,0.18,0
0,5.26666666667,0.18,0.18,0
0,5.3,0.18,0.18,0
0,5.33333333333,0.18,0.18,0
0,5.36666666667,0.18,0.18,0
0,5.4,0.18,0.18,0
0,5.43333333333,0.18,0.18,0
0,5.46666666667,0.18,0.18,0
0,5.5,0.18,0.18,0
0,5.53333333333,0.18,0.18,0
0,5.56666666667,0.18,0.18,0
0,5.6,0.18,0.18,0
0,5.63333333333,0.18,0.18,0
0,5.66666666667,0.18,0.18,0
0,5.7,0.18,0.18,0
0,5.73333333333,0.18,0.18,0
0,5.76666666667,0.18,0.18,0
0,5.8,0.18,0.18,0
0,5.83333333333,0.18,0.18,0
0,5.86666666667,0.18,0.18,0
0,5.9,0.18,0.18,0
0,5.93333333333,0.18,0.18,0
0,5.96666666667,0.18,0.18,0
0,6,0.18,0.18,0
23,0,0.18,0.18,0
23,0.0333333333333,0.18,0.18,0
23,0.0666666666667,0.18,0.18,0
23,0.1,0.18,0.18,0
23,0.133333333333,0.18,0.18,0
23,0.166666666667,0.18,0.18,0
23,0.2,0.18,0.18,0
23,0.233333333333,0.18,0.18,0
