severity,nx,requested_time_s,elapsed_time_s,z_cm,a_cm2,q_cm3_s,u_cm_s
23.0,100,0.0,0.0,0.03,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.09,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.15,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.21,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.27,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.32999999999999996,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.39,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.44999999999999996,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.51,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.57,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.63,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.69,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.75,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.8099999999999999,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.87,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.9299999999999999,0.0324,0.0,0.0
23.0,100,0.0,0.0,0.99,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.05,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.1099999999999999,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.17,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.23,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.29,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.3499999999999999,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.41,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.47,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.53,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.5899999999999999,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.65,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.71,0.0324,0.0,0.0
23.0,100,0.0,0.0,1.77,0.032399999999999936,0.0,0.0
23.0,100,0.0,0.0,1.8299999999999998,0.03239999999397525,0.0,0.0
23.0,100,0.0,0.0,1.89,0.03239998022454871,0.0,0.0
23.0,100,0.0,0.0,1.95,0.032395221855794396,0.0,0.0
23.0,100,0.0,0.0,2.01,0.03223325511342885,0.0,0.0
23.0,100,0.0,0.0,2.07,0.030945312605659674,0.0,0.0
23.0,100,0.0,0.0,2.13,0.02750928764772091,0.0,0.0
23.0,100,0.0,0.0,2.19,0.023432051827813924,0.0,0.0
23.0,100,0.0,0.0,2.25,0.020718263908170807,0.0,0.0
23.0,100,0.0,0.0,2.31,0.019554825245447733,0.0,0.0
23.0,100,0.0,0.0,2.37,0.019244324720311574,0.0,0.0
23.0,100,0.0,0.0,2.4299999999999997,0.019210102528069952,0.0,0.0
