z reference_radius displacement current_radius wall_force pressure
0.0 0.18 0.0 0.18 400.0 400.0
0.375 0.18 3.05167432747e-5 0.180030516743 378.997136695 378.997136695
0.75 0.18 2.88259437664e-5 0.180028825944 357.998656303 357.998656303
1.125 0.18 2.7135598059e-5 0.180027135598 337.005799434 337.005799434
1.5 0.18 2.54452415574e-5 0.180025445242 316.012796152 316.012796152
1.875 0.179999990459 2.37540702629e-5 0.180023744529 295.009661361 295.009661361
2.25 0.143938403174 2.10665254986e-5 0.143959469699 261.632288901 261.632288901
2.625 0.140201766788 1.67077652867e-5 0.140218474553 207.499599051 207.499599051
3.0 0.173467339626 1.36612229979e-5 0.173481000849 169.663642361 169.663642361
3.375 0.179977659852 1.18391932762e-5 0.179989499045 147.035248451 147.035248451
3.75 0.179999999764 1.01477077705e-5 0.180010147471 126.028111775 126.028111775
4.125 0.18 8.45657954369e-6 0.18000845658 105.025399872 105.025399872
4.5 0.18 6.76538876601e-6 0.180006765389 84.0218987379 84.0218987379
4.875 0.18 5.07413542789e-6 0.180005074135 63.0176082497 63.0176082497
5.25 0.18 3.38281952425e-6 0.18000338282 42.0125283415 42.0125283415
5.625 0.18 1.69144104998e-6 0.180001691441 21.0066589471 21.0066589471
6.0 0.18 0.0 0.18 0.0 0.0
