case_label,severity,case,operator,model,nx,dt_s,initial_condition,backend,run_status,coordinate_mode,target_time_s,section_count,valid_section_count,mean_physical_flow_bias_1d_minus_3d_cm3_s,mean_physical_flow_discrepancy_cm3_s,rms_physical_flow_discrepancy_cm3_s,mean_velocity_bias_1d_minus_3d_cm_s,mean_velocity_discrepancy_cm_s,rms_velocity_discrepancy_cm_s,max_velocity_discrepancy_cm_s,max_velocity_discrepancy_z_cm,relative_rms_velocity_discrepancy,adjacent_from_nx,adjacent_mean_abs_velocity_difference_cm_s,adjacent_rms_velocity_difference_cm_s,adjacent_max_abs_velocity_difference_cm_s,adjacent_relative_rms_velocity_difference,one_d_completed_time_s,cross_model_time_offset_s,comparison_summary_csv,section_csv
77,23,severity23,CrossSectionQuadratureOperator,canic-extended-1d,200,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.041830211286943315,0.05928731993480076,0.07269898473931444,0.36949298985027423,0.5818510715044696,0.8293661399451108,4.469947017498079,2.080402010050251,0.034636656135015105,0,NaN,NaN,NaN,NaN,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx200/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx200/section_mean_case77_sev23.csv
60,40,severity40,CrossSectionQuadratureOperator,canic-extended-1d,200,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.059489538617092365,0.08394563884821625,0.11324846566136484,0.7691491909915077,1.0816485012999708,1.8938696773822716,7.929666645474256,2.080402010050251,0.06974777277352878,0,NaN,NaN,NaN,NaN,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx200/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx200/section_mean_case60_sev40.csv
77,23,severity23,CrossSectionQuadratureOperator,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.0471947297742844,0.04819637376250224,0.05086246915535736,0.43634602683482454,0.4632871492466666,0.5669581098698594,1.9718654579638866,2.291457286432161,0.02367776082083612,200,0.22952653944402787,0.6636119395190017,3.405764070904983,0.02716435836076213,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx400/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx400/section_mean_case77_sev23.csv
60,40,severity40,CrossSectionQuadratureOperator,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.06837799629238447,0.07087043345271865,0.08927226741903092,0.9085685998376185,0.9660352604411141,1.868365204475026,9.922570969096519,2.2613065326633164,0.06880848946259793,200,0.4592598020528923,1.3283741000134275,7.107781920043365,0.046597971435418085,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx400/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx400/section_mean_case60_sev40.csv
77,23,severity23,CrossSectionQuadratureOperator,canic-extended-1d,800,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.0486957526371366,0.04875612966562384,0.05325008995924318,0.4551928489416085,0.465649497219684,0.6109319747147562,2.589255713275982,2.2613065326633164,0.025514232750665725,400,0.059586482088418685,0.17464192058508618,0.919574126615256,0.007142658050264225,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx800/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx800/section_mean_case77_sev23.csv
60,40,severity40,CrossSectionQuadratureOperator,canic-extended-1d,800,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.07073174559046873,0.07107755760714796,0.0953894433377224,0.9466973638431837,0.9843454457082379,2.0188949179120264,11.57298520360277,2.2613065326633164,0.07435222479658368,400,0.11937932009913332,0.3498827525240014,1.9758200342429504,0.012253223798960475,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx800/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx800/section_mean_case60_sev40.csv
77,23,severity23,CrossSectionQuadratureOperator,canic-extended-1d,1600,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.04907017183820333,0.04914116735971865,0.054378362420175116,0.4598577510878323,0.4700236813385132,0.6286629649826116,2.784311703699892,2.2613065326633164,0.026254728634524264,800,0.014982425415583443,0.044207942213186635,0.2355978874893374,0.0018076454371846451,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx1600/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx1600/section_mean_case77_sev23.csv
60,40,severity40,CrossSectionQuadratureOperator,canic-extended-1d,1600,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.07134027115630465,0.07184254301993372,0.09768636184148277,0.9565223672739068,0.9933861054798055,2.064668798659682,11.996306198620609,2.2613065326633164,0.07603799350151536,800,0.03032738946951658,0.0894742970978501,0.5127587363776911,0.0031320307712617373,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx1600/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx1600/section_mean_case60_sev40.csv
77,23,severity23,CrossSectionQuadratureOperator,canic-extended-1d,3200,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.04916342639505609,0.049236754442509224,0.05469021776244278,0.4610229189313778,0.4715429745929783,0.6335435608802571,2.8351181360277806,2.2613065326633164,0.026458556007862538,1600,0.0037606536276455983,0.011102872252864247,0.05913851998158037,0.00045396603407691255,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx3200/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx3200/section_mean_case77_sev23.csv
60,40,severity40,CrossSectionQuadratureOperator,canic-extended-1d,3200,1.0e-5,geometry-rest,native,ok,reference,0.9995,200,200,0.07149227460386638,0.07204572502129172,0.09829928546325621,0.9589871718201141,0.9967185031596287,2.076855631887907,12.107649994102879,2.2613065326633164,0.07648681238540288,1600,0.007615230375723817,0.022541643703157022,0.13015845178716745,0.0007889723321346399,0.9995,5.473399511402022e-14,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx3200/comparison_summary.csv,tmp/simulations/output/3d_comparison/grid_sensitivity_severity23_severity40/nx3200/section_mean_case60_sev40.csv
