r u1d1p951 u3d1p951 area1p951 disc1p951 u1d2p451 u3d2p451 area2p451 disc2p451 u1d2p951 u3d2p951 area2p951 disc2p951
0.025 44.858468794 45.5763470492 0.000264181624351 0.717878255204 75.8178664962 59.4816173091 0.00013426738695 16.3362491871 51.0613836882 58.5188406821 0.000263772361073 7.45745699396
0.075 44.6340361797 45.1275729711 0.000812395235819 0.493536791465 75.4385400847 59.1862537092 0.000507616931589 16.2522863755 50.8059171031 58.2718640242 0.000724639243531 7.46594692107
0.125 44.185170951 44.588754957 0.00123564903739 0.403584006084 74.6798872617 58.8017716521 0.000644096023783 15.8781156096 50.294983933 57.8078584037 0.00105891984042 7.51287447067
0.175 43.5118731079 44.0079664449 0.00186025793108 0.496093336986 73.5419080272 58.4070804611 0.00105818100709 15.1348275662 49.5285841778 57.0601126663 0.00154242229647 7.53152848843
0.225 42.6141426505 43.1468328695 0.00214284221019 0.532690219068 72.0246023813 57.9289676055 0.00133566162979 14.0956347758 48.5067178376 56.0419073711 0.00217948059067 7.53518953349
0.275 41.4919795787 41.9657744561 0.00292176662569 0.473794877387 70.1279703238 57.2485124051 0.00172252822349 12.8794579187 47.2293849123 54.6138099737 0.00240393336094 7.38442506137
0.325 40.1453838926 40.5173925611 0.00315367593745 0.372008668507 67.8520118549 56.368275365 0.0018582933512 11.4837364899 45.696585402 52.9826830606 0.00296828215444 7.2860976586
0.375 38.5743555921 38.809108392 0.00394660317285 0.234752799932 65.1967269745 55.2970130128 0.00238918992432 9.89971396168 43.9083193066 50.8262868866 0.00336116812777 6.91796758006
0.425 36.7788946773 37.0506344849 0.00406878002073 0.271739807647 62.1621156826 54.1692879433 0.00247300468967 7.99282773934 41.8645866261 47.9868155028 0.00379637586761 6.12222887663
0.475 34.7590011481 34.9138093506 0.00521086344648 0.154808202479 58.7481779792 52.9181583588 0.00294841906856 5.83001962035 39.5653873606 44.5848826031 0.00432991641283 5.01949524249
0.525 32.5146750045 32.5959387702 0.00502392416251 0.0812637656472 54.9549138643 51.2621314902 0.00328085642039 3.69278237408 37.0107215101 40.6964505065 0.00472370267882 3.6857289964
0.575 30.0459162466 30.0510016501 0.00591102644339 0.00508540346672 50.782323338 49.1389593467 0.0034047820643 1.64336399123 34.2005890744 36.0782479459 0.00541833423876 1.87765887147
0.625 27.3527248744 27.2218534577 0.00654086356253 0.130871416747 46.2304064001 46.6879469843 0.00368291300797 0.457540584183 31.1349900538 30.6093811246 0.00561709613239 0.525608929187
0.675 24.4351008878 24.0660328986 0.00692098142191 0.369067989185 41.2991630508 44.0098057472 0.00400196218132 2.71064269642 27.813924448 25.2736808535 0.00610351881371 2.54024359451
0.725 21.2930442868 20.7616398404 0.00729724435851 0.531404446394 35.9885932899 40.4351781277 0.00453464339785 4.44658483783 24.2373922572 19.7891899402 0.00661573810148 4.44820231708
0.775 17.9265550715 17.2653601979 0.00776627952045 0.661194873594 30.2986971176 34.3014332524 0.00515854270693 4.0027361348 20.4053934814 14.8121645574 0.00646359326775 5.59322892396
0.825 14.3356332419 13.4106938582 0.00931481422968 0.924939383632 24.2294745338 27.6629459033 0.00528081371072 3.43347136948 16.3179281205 10.8698880293 0.0091086432496 5.44804009117
0.875 10.5202787978 9.46800702307 0.0074616873836 1.05227177477 17.7809255385 19.3931048692 0.00357825462796 1.61217933066 11.9749961745 7.41280095674 0.00557507197418 4.56219521778
0.925 6.48049173947 4.91361004582 0.010722228007 1.56688169365 10.9530501317 11.3987069103 0.00748707102338 0.445656778626 7.37659764351 3.72966082894 0.00999585623608 3.64693681456
0.975 2.21627206675 1.09051220311 0.00875575060189 1.12575986364 3.74584831344 3.0606674806 0.00521531397677 0.685180832845 2.52273252743 0.619329932209 0.00757785426931 1.90340259522
